experiment;total_predictions;correct_predictions;not_embedded_sentences;accuracy
ISO/en/multi/All/10/Average;217;13;9;5.990783410138248
ISO/en/mono/All/11/Average;217;28;9;12.903225806451612
AOC/en2/mono/NoSpec/2/Last;217;12;9;5.529953917050691
AOC/en/mono/All/2/Average;226;5;0;2.2123893805309733
ISO/en2/mono/NoSpec/6/Unique;217;6;9;2.7649769585253456
ISO/en/multi/All/11/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/3/Last;217;12;9;5.529953917050691
ISO/en/mono/All/12/Average;217;37;9;17.050691244239633
ISO/en2/mono/NoSpec/7/Unique;217;4;9;1.8433179723502304
AOC/en/mono/All/3/Average;226;4;0;1.7699115044247788
AOC/en2/mono/NoSpec/4/Last;217;12;9;5.529953917050691
ISO/en/multi/All/12/Average;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/8/Unique;217;4;9;1.8433179723502304
AOC/en/mono/All/4/Average;226;4;0;1.7699115044247788
AOC/en2/mono/NoSpec/5/Last;217;14;9;6.451612903225806
ISO/en2/mono/NoSpec/9/Unique;217;2;9;0.9216589861751152
AOC/en/mono/All/5/Average;226;3;0;1.327433628318584
ISO/en/mono/All/0/Unique;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/10/Unique;217;8;9;3.686635944700461
ISO/en/mono/All/1/Unique;217;13;9;5.990783410138248
ISO/en/multi/All/0/Unique;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/0/Unique;217;10;9;4.6082949308755765
AOC/en/mono/All/6/Average;226;6;0;2.6548672566371683
ISO/en2/mono/NoSpec/11/Unique;217;6;9;2.7649769585253456
ISO/en/mono/All/2/Unique;217;14;9;6.451612903225806
ISO/en/multi/All/1/Unique;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/1/Unique;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/12/Unique;217;4;9;1.8433179723502304
AOC/en/mono/All/7/Average;226;6;0;2.6548672566371683
ISO/en/mono/All/3/Unique;217;12;9;5.529953917050691
ISO/en/multi/All/2/Unique;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/2/Unique;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/13/Unique;217;5;9;2.3041474654377883
ISO/en/mono/All/4/Unique;217;13;9;5.990783410138248
ISO/en/multi/All/3/Unique;217;13;9;5.990783410138248
AOC/en/mono/All/8/Average;226;6;0;2.6548672566371683
AOC/en2/mono/NoSpec/3/Unique;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/14/Unique;217;7;9;3.225806451612903
ISO/en/mono/All/5/Unique;217;37;9;17.050691244239633
ISO/en/multi/All/4/Unique;217;11;9;5.0691244239631335
AOC/en2/mono/NoSpec/4/Unique;217;14;9;6.451612903225806
ISO/en2/mono/NoSpec/15/Unique;217;8;9;3.686635944700461
AOC/en/mono/All/9/Average;226;6;0;2.6548672566371683
ISO/en/mono/All/6/Unique;217;37;9;17.050691244239633
ISO/en/multi/All/5/Unique;217;8;9;3.686635944700461
AOC/en2/mono/NoSpec/5/Unique;217;15;9;6.912442396313365
ISO/en2/mono/NoSpec/16/Unique;217;7;9;3.225806451612903
ISO/en/mono/All/7/Unique;217;37;9;17.050691244239633
AOC/en/mono/All/10/Average;226;5;0;2.2123893805309733
ISO/en/multi/All/6/Unique;217;8;9;3.686635944700461
AOC/en2/mono/NoSpec/6/Unique;217;15;9;6.912442396313365
ISO/en2/mono/NoSpec/17/Unique;217;7;9;3.225806451612903
ISO/en/mono/All/8/Unique;217;38;9;17.51152073732719
ISO/en/multi/All/7/Unique;217;8;9;3.686635944700461
AOC/en2/mono/NoSpec/7/Unique;217;15;9;6.912442396313365
ISO/en2/mono/NoSpec/18/Unique;217;8;9;3.686635944700461
AOC/en/mono/All/11/Average;226;5;0;2.2123893805309733
ISO/en/mono/All/9/Unique;217;38;9;17.51152073732719
AOC/en2/mono/NoSpec/8/Unique;217;13;9;5.990783410138248
ISO/en/multi/All/8/Unique;217;9;9;4.147465437788019
ISO/en2/mono/NoSpec/19/Unique;217;8;9;3.686635944700461
ISO/en/mono/All/10/Unique;217;29;9;13.36405529953917
AOC/en2/mono/NoSpec/9/Unique;217;13;9;5.990783410138248
ISO/en/multi/All/9/Unique;217;9;9;4.147465437788019
ISO/en2/mono/NoSpec/20/Unique;217;8;9;3.686635944700461
AOC/en/mono/All/12/Average;226;5;0;2.2123893805309733
ISO/en/mono/All/11/Unique;217;27;9;12.442396313364055
AOC/en2/mono/NoSpec/10/Unique;217;13;9;5.990783410138248
ISO/en/multi/All/10/Unique;217;11;9;5.0691244239631335
ISO/en2/mono/NoSpec/21/Unique;217;6;9;2.7649769585253456
AOC/en/mono/All/0/First;226;4;0;1.7699115044247788
ISO/en/mono/All/12/Unique;217;27;9;12.442396313364055
AOC/en2/mono/NoSpec/11/Unique;217;13;9;5.990783410138248
ISO/en/multi/All/11/Unique;217;8;9;3.686635944700461
ISO/en2/mono/NoSpec/22/Unique;217;7;9;3.225806451612903
AOC/en/mono/All/1/First;226;3;0;1.327433628318584
AOC/en2/mono/NoSpec/12/Unique;217;13;9;5.990783410138248
ISO/en2/mono/NoSpec/23/Unique;217;6;9;2.7649769585253456
ISO/en/multi/All/12/Unique;217;11;9;5.0691244239631335
ISO/en/mono/WithCLS/1/Average;217;13;9;5.990783410138248
AOC/en/mono/All/2/First;226;6;0;2.6548672566371683
AOC/en2/mono/NoSpec/13/Unique;217;12;9;5.529953917050691
ISO/en2/mono/NoSpec/24/Unique;217;7;9;3.225806451612903
ISO/en/mono/WithCLS/2/Average;217;13;9;5.990783410138248
ISO/en/multi/WithCLS/1/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/14/Unique;217;17;9;7.834101382488479
AOC/en/mono/All/3/First;226;6;0;2.6548672566371683
ISO/en/mono/WithCLS/3/Average;217;13;9;5.990783410138248
ISO/en2/mono/All/1/Average;217;15;9;6.912442396313365
ISO/en/multi/WithCLS/2/Average;217;13;9;5.990783410138248
AOC/en2/mono/NoSpec/15/Unique;217;14;9;6.451612903225806
AOC/en/mono/All/4/First;226;5;0;2.2123893805309733
